Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay 2,Chrome 101.0.4951.67,,,2022-05-24 14:32:56,2022-05-24 14:38:37,5m - 41.587s,PASSED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay - Copy,Chrome 101.0.4951.67,,,2022-05-24 14:32:56,2022-05-24 14:38:37,5m - 40.935s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-24 14:32:58,2022-05-24 14:33:04,5.203s,PASSED
"for ([i = 1, i <= 10, (i++)])",Chrome 101.0.4951.67,,,2022-05-24 14:33:04,2022-05-24 14:38:37,5m - 33.807s,PASSED
