Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay 2,Edge Chromium 101,,,2022-05-24 16:08:47,2022-05-24 16:10:16,1m - 28.612s,FAILED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay - Copy,Edge Chromium 101,,,2022-05-24 16:08:48,2022-05-24 16:10:16,1m - 27.687s,FAILED
"openBrowser("""")",Edge Chromium 101,,,2022-05-24 16:08:51,2022-05-24 16:09:04,12.458s,PASSED
"for ([i = 1, i <= 10, (i++)])",Edge Chromium 101,,,2022-05-24 16:09:04,2022-05-24 16:10:16,1m - 11.741s,FAILED
