Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay 2,Chrome 101.0.4951.67,,,2022-05-24 15:02:20,2022-05-24 15:07:59,5m - 39.292s,PASSED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay - Copy,Chrome 101.0.4951.67,,,2022-05-24 15:02:21,2022-05-24 15:07:59,5m - 38.399s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-24 15:02:24,2022-05-24 15:02:31,6.810s,PASSED
"for ([i = 1, i <= 10, (i++)])",Chrome 101.0.4951.67,,,2022-05-24 15:02:31,2022-05-24 15:07:59,5m - 28.279s,PASSED
