Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay,Edge Chromium 101,,,2022-05-24 15:02:22,2022-05-24 15:04:11,1m - 49.131s,FAILED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay,Edge Chromium 101,,,2022-05-24 15:02:23,2022-05-24 15:04:11,1m - 48.126s,FAILED
"openBrowser("""")",Edge Chromium 101,,,2022-05-24 15:02:27,2022-05-24 15:02:34,7.565s,PASSED
"for ([i = 1, i <= 10, (i++)])",Edge Chromium 101,,,2022-05-24 15:02:34,2022-05-24 15:04:11,1m - 37.167s,FAILED
