Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay,Chrome 101.0.4951.67,,,2022-05-24 14:01:55,2022-05-24 14:07:50,5m - 55.188s,PASSED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay,Chrome 101.0.4951.67,,,2022-05-24 14:01:56,2022-05-24 14:07:50,5m - 54.507s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-24 14:01:58,2022-05-24 14:02:03,5.777s,PASSED
"for ([i = 1, i <= 10, (i++)])",Chrome 101.0.4951.67,,,2022-05-24 14:02:03,2022-05-24 14:07:50,5m - 46.858s,PASSED
