Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permata VA noPay 2,Edge Chromium 101,,,2022-05-24 16:19:48,2022-05-24 16:24:26,4m - 38.211s,PASSED
,,,,,,,
Test Cases/simulator - pass PERMATA noPay - Copy,Edge Chromium 101,,,2022-05-24 16:19:49,2022-05-24 16:24:26,4m - 37.467s,PASSED
"openBrowser("""")",Edge Chromium 101,,,2022-05-24 16:19:51,2022-05-24 16:19:58,7.015s,PASSED
"for ([i = 1, i <= 10, (i++)])",Edge Chromium 101,,,2022-05-24 16:19:58,2022-05-24 16:24:26,4m - 28.102s,PASSED
